"ProjectProgramCode","StationOrder","StationCode","QC","SubArea","Watershed","SamplePosition","TemplateNumber","AltStationCode","StationDescription","AddlStationDescription","Flag","StationGroup","RandomTarget","StationID","StationOwner","Latitude","Longitude","StationType","HUC","LandUse","DrainageArea","DrainageAreaUnits","ChannelType","FlowType","HyperLinkString","DrainageFacility","LastUpdateUser","LastUpdateDate","MRN","ActiveFlag"
6,"1.0","ANACHANT@BRB","0",,"Santa Ana River",,4,,"Anaheim",,,"Target","Targeted",4485,,"33.816630000000004","-117.87201","Outfall",,,,,,,,,"PFRDNET\spkatlabweb2301$","2014-04-28 08:51:40.927","*1000-65-5098*","1"
6,"2.0","ANACIT@B01","0",,"San Gabriel River - Coyote Creek",,4,,"Anaheim",,,"Target","Eliminated 14",2077,,"33.846989999999998","-117.92926","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/ANACIT@B01_Anaheim/",,"PFRDNET\spkatlabweb2301$","2014-04-24 14:47:15.980","*1000-34-6901*","1"
6,"3.0","ANAE02@LAPAL","0",,"Santa Ana River",,4,,"Anaheim",,,"Target","Eliminated 14",2280,,"33.851219999999998","-117.85608000000001","Outfall",,,,,,,,,"PFRDNET\spkatlabweb2301$","2014-04-24 14:56:02.203","*1000-43-4613*","1"
6,"4.0","ANAE12@ E01","0",,"Santa Ana River",,4,,"Anaheim",,,"Target","Eliminated 15",2078,,"33.788890000000002","-117.88222","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/ANAE12@E01_Anaheim/",,"PFRDNET\spkatlabweb2301$","2016-03-29 08:28:48.520","*1000-34-6904*","1"
6,"5.0","ANAHGC03","0",,"Anaheim Bay - Huntington Harbor",,4,,"Anaheim",,,"Random","Random",2079,,"33.817720000000001","-117.93249","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/ANAHGC03_Anaheim/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:58.980","*1000-34-6905*","1"
6,"6.0","ANAWASD@CRB","0",,"San Gabriel River - Coyote Creek",,4,,"Anaheim",,,"Target","Eliminated 16",4486,,"33.83981","-117.95038","Outfall",,,,,,,,,"LabTrackApiUser","2017-04-03 08:17:07.660","*1000-65-5099*","1"
6,"7.0","BPARA01","0",,"San Gabriel River - Coyote Creek",,4,,"Buena Park",,,"Target","Eliminated 11",2080,,"33.871859999999998","-118.02065","Channel",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/BPARA01_Buena Park/",,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.383","*1000-34-6909*","1"
6,"8.0","BPDSA01","0",,"San Gabriel River - Coyote Creek",,4,,"Buena Park",,,"Target","Eliminated 12",2081,,"33.881390000000003","-117.99997999999999","Channel",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/BPDSA01_Buena Park/",,"PFRDNET\spkatlabweb2301$","2012-04-05 15:23:20.003","*1000-34-6911*","1"
6,"9.0","BRRC@I-90","0",,"San Gabriel River - Coyote Creek",,4,,"Brea",,,"Target","Targeted",2082,,"33.911490000000001","-117.88982","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/BRRC@I-90_Brea/",,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.383","*1000-34-6913*","1"
6,"10.0","CM15NB","0",,"Newport Bay",,4,,"Costa Mesa",,,"Target","Eliminated 13",2083,,"33.62941","-117.9259","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/CM15NB_Costa Mesa/",,"PFRDNET\spkatlabweb2301$","2013-05-06 14:12:25.887","*1000-34-6918*","1"
