Program,LogNumber,Station,Date,QA Type,Sample Type,Type,MatrixCode,SampleDepth,Filtered,Analysis,Parameter,Qualifier,Result,Units,Result Type,WaterShed
"SAR Estuary/Wetlands Monitoring,TMDL Newport Bay",WR170289,UNBJAM,7/26/2010 10:40,NA,Grab,DT,SW,S,T,BactiMF,ENT,,9,CFU/100 ml,Chem,Newport Bay
"SAR Estuary/Wetlands Monitoring,TMDL Newport Bay",WR170289,UNBJAM,7/26/2010 10:40,NA,Grab,DT,SW,S,T,BactiMF,FC,<,9,CFU/100 ml,Chem,Newport Bay
"SAR Estuary/Wetlands Monitoring,TMDL Newport Bay",WR170289,UNBJAM,7/26/2010 10:40,NA,Grab,DT,SW,S,T,BactiMF,TC,,70,CFU/100 ml,Chem,Newport Bay
"SAR Estuary/Wetlands Monitoring,TMDL Newport Bay",WR170289,UNBJAM,7/26/2010 10:40,NA,Grab,DT,SW,S,T,NUT,AmmoniaN,<,0.1,mg/L,Chem,Newport Bay
"SAR Estuary/Wetlands Monitoring,TMDL Newport Bay",WR170289,UNBJAM,7/26/2010 10:40,NA,Grab,DT,SW,S,T,NUT,NitrateNitriteNO3,,0.65,mg/L,Chem,Newport Bay
"SAR Estuary/Wetlands Monitoring,TMDL Newport Bay",WR170289,UNBJAM,7/26/2010 10:40,NA,Grab,DT,SW,S,T,NUT,OrthoPhosphateP,,0.03,mg/L,Chem,Newport Bay
"SAR Estuary/Wetlands Monitoring,TMDL Newport Bay",WR170289,UNBJAM,7/26/2010 10:40,NA,Grab,DT,SW,S,T,NUT,pH,,7.93,SU,Chem,Newport Bay
"SAR Estuary/Wetlands Monitoring,TMDL Newport Bay",WR170289,UNBJAM,7/26/2010 10:40,NA,Grab,DT,SW,S,T,NUT,SpecCond,,43800,umhos/cm,Chem,Newport Bay
"SAR Estuary/Wetlands Monitoring,TMDL Newport Bay",WR170289,UNBJAM,7/26/2010 10:40,NA,Grab,DT,SW,S,T,NUT,TKN,,0.25,mg/L,Chem,Newport Bay
"SAR Estuary/Wetlands Monitoring,TMDL Newport Bay",WR170289,UNBJAM,7/26/2010 10:40,NA,Grab,DT,SW,S,T,NUT,TotalPhosphorusPO4,,0.19,mg/L,Chem,Newport Bay
