"Analysis","Parameter"
"FIELD","DO"
"FIELD","EC"
"FIELD","pH"
"FIELD","WaterCurrent"
"FIELD","WaterTemperature"
"NUT","AmmoniaN"
"NUT","NitrateNitriteNO3"
"NUT","OrthoPhosphateP"
"NUT","SpecCond"
"NUT","TKN"
"NUT","TotalPhosphorusPO4"
"NUT","TSS"
"NUT","Turbidity"
"NUT","VSS"
"FIELD","LF"
"FIELD","SF"
"FIELD","Hardness"
"BactiMF","ENT"
"BactiMF","FC"
"BactiMF","TC"
"OGPG","OilAndGrease"
"GLYP","GLYP"
"GM","Alkalinity as CaC03"
"GM","B"
"GM","Ca"
"GM","Chloride"
"GM","CO2"
"GM","CO3"
"GM","Fluoride"
"GM","HCO3"
"GM","Hydroxide"
"GM","K"
"GM","Mg"
"GM","Na"
"GM","NO3"
"GM","Silica"
"GM","Sulfate"
"GM","TDS"
"OPP","Azinphos methyl (Guthion)"
"OPP","Bolstar"
"OPP","Chlorpyrifos"
"OPP","Coumaphos"
"OPP","Demeton-o"
"OPP","Demeton-s"
"OPP","Diazinon"
"OPP","Dichlorvos"
"OPP","Dimethoate"
"OPP","Disulfoton"
"OPP","Ethoprop"
"OPP","Ethyl Parathion"
"OPP","Fensulfothion"
"OPP","Fenthion"
"OPP","Malathion"
"OPP","Merphos"
"OPP","Mevinphos"
"OPP","Naled "
"OPP","Parathion-methyl"
"OPP","Phorate"
"OPP","Ronnel"
"OPP","Tetrachlorovinphos"
"OPP","Tokuthion"
"OPP","Trichloronate"
"TOC","TOC"
"TRF As Se Hg","Ag"
"TRF As Se Hg","As"
"TRF As Se Hg","Cd"
"TRF As Se Hg","Cr"
"TRF As Se Hg","Cu"
"TRF As Se Hg ","Fe"
"TRF As Se Hg","Hg"
"TRF As Se Hg","Ni"
"TRF As Se Hg","Pb"
"TRF As Se Hg","Se"
"TRF As Se Hg","Zn"
"TXF2","CERIO_Dil_100_Reprod"
"TXF2","CERIO_Dil_100_Surv"
"TXF2","CERIO_Dil_100_Surv48Hr"
"TXF2","CERIO_Dil_50_Reprod"
"TXF2","CERIO_Dil_50_Surv"
"TXF2","CERIO_Dil_50_Surv48Hr"
"TXF2","CERIO_Dil_Control_Reprod"
"TXF2","CERIO_Dil_Control_Surv"
"TXF2","CERIO_Dil_Control_Surv48Hr"
"TXF2","CERIO_IC25_Reprod"
"TXF2","CERIO_IC25_Surv"
"TXF2","CERIO_IC25_Surv48Hr"
"TXF2","CERIO_IC50_Reprod"
"TXF2","CERIO_IC50_Surv"
"TXF2","CERIO_IC50_Surv48Hr"
"TXF2","CERIO_NOEC_Reprod"
