class,location,Parameter,PAHs,threshold comments
metals,sd,Ag,,no sediment thresholds for metals that I am aware of
metals,sd,As,,
metals,sd,Cd,,
metals,sd,Cr,,
metals,sd,Cu,,"34 ug/g for saltwater sediment, 35.7ppb for freshwater sediment"
metals,sd,Fe,,
metals,sd,Hg,,"0.15ug/g for saltwater sediment, 0.17ug/g for freshwater sediment"
metals,sd,Ni,,
metals,sd,Pb,,
metals,sd,Se,,
metals,sd,Zn,,"150 ug/g for saltwater sediment, 121ppb for freshwater sediment"
metals,wc,Ag,,"WC metals thresholds are mostly based on California Toxics Rule and hardness adjusted, except for certain waterbodies as noted below"
metals,wc,As,,"340 ug/l, from CTR"
metals,wc,Cd,,
metals,wc,Cr,,
metals,wc,Cu,,"From San Gabriel River/Coyote Creek TMDL, threshold is 27 ug/L in storm flow, 20 ug/L in dry weather flows. Applies to CCBA01, FCVA03, CARB01."
metals,wc,Fe,,"1000 ug/L, USEPA Recommended National Water Quality Criteria"
metals,wc,Hg,,0.025 ug/L
metals,wc,Ni,,
metals,wc,Pb,,"From San Gabriel River/Coyote Creek TMDL, threshold is 106 ug/L in storm flow. Applies to CCBA01, FCVA03, CARB01."
metals,wc,Se,,5 ppb for freshwater; 71 for salt water
metals,wc,Zn,,"From San Gabriel River/Coyote Creek TMDL, threshold is 158 ug/L in storm flow. Applies to CCBA01, FCVA03, CARB01"
nutrients,sd,Nitrogen-S,,none
nutrients,sd,Phosphorus-S,,none
nutrients,wc,Ammonia,,"Varies based on pH and temp. Criteria in Santa Ana Basin Plan Ch 4, p 62. There are Total Inorganic Nitrogen (NH3-N+NO3-N+NO2-N) thresholds for San Diego Creek. 13 mg/L at SDMF05, 5 mg/L at WYLSED."
nutrients,wc,"Nitrate, Nitrite",,"45 mg/L NO3, no objectives for NO2"
nutrients,wc,Orthophosphate,,none
nutrients,wc,Total Kjeldahl Nitrogen,,none
nutrients,wc,Total Phosphorus,,"none, except there is an annual load limit due to Newport/San Diego Creek Nutrient TMDL. We have already calculated these and can supply those reports if you would like."
organics,sd,"(1,2,3-CE)Pyrene",HPAH,"For the organics, if there is no note, then I am unaware of any applicable thresholds. There could be some in SQuiRTS reference tables for marine sdeiment, but they are not regulatory thresholds."
organics,sd,1-methylnaphthalene,LPAH,Can probably sum LPAHs and HPAHs separately
organics,sd,1-Methylnaphthalene,LPAH,
organics,sd,1-Methylphenanthrene,LPAH,
organics,sd,"1,2,5,6- Dibenzanthracene",HPAH,
organics,sd,2-methylnaphthalene,LPAH,
organics,sd,2-Methylnaphthalene,LPAH,
organics,sd,"2,4'-D",,
organics,sd,"2,4-DB",,
organics,sd,"2,4,5 TP-Silvex",,
organics,sd,"2,4,5,-T",,
organics,sd,"2,6-Dimethylnaphthalene",LPAH,
organics,sd,Acenaphthene,LPAH,
organics,sd,Acenapthene,LPAH,
organics,sd,Acenapthylene,LPAH,
organics,sd,Aldrin,,
organics,sd,Allethrin,,
organics,sd,Alpha-BHC,,
organics,sd,Anthracene,LPAH,
organics,sd,Atrazine,,
organics,sd,Be,,
organics,sd,Benzo (A) Anthracene,HPAH,
organics,sd,Benzo (A) Pyrene,HPAH,
organics,sd,Benzo (GHI) Perylene,HPAH,
organics,sd,Benzo (K) Fluoranthene,HPAH,
