Watershed,par,location,Threshold,units
Anaheim Bay - Huntington Harbor,"2,4,5 TP-Silvex",sd,,
Anaheim Bay - Huntington Harbor,"2,4'-D",sd,,
Anaheim Bay - Huntington Harbor,Ag,sd,,
Anaheim Bay - Huntington Harbor,Aldrin,sd,,
Anaheim Bay - Huntington Harbor,Allethrin,sd,,
Anaheim Bay - Huntington Harbor,Alpha-BHC,sd,,
Anaheim Bay - Huntington Harbor,As,sd,,
Anaheim Bay - Huntington Harbor,Atrazine,sd,,
Anaheim Bay - Huntington Harbor,Be,sd,,
Anaheim Bay - Huntington Harbor,Beta-BHC,sd,,
Anaheim Bay - Huntington Harbor,Bifenthrin,sd,,
Anaheim Bay - Huntington Harbor,Cd,sd,,
Anaheim Bay - Huntington Harbor,Chlordane,sd,,
Anaheim Bay - Huntington Harbor,Cis-Permethrin,sd,,
Anaheim Bay - Huntington Harbor,Cr,sd,,
Anaheim Bay - Huntington Harbor,Cu,sd,34,mg/kg
Anaheim Bay - Huntington Harbor,Cyfluthrin,sd,,
Anaheim Bay - Huntington Harbor,Cypermethrin,sd,,
Anaheim Bay - Huntington Harbor,DDT,sd,,
Anaheim Bay - Huntington Harbor,Delta-BHC,sd,,
Anaheim Bay - Huntington Harbor,Deltamethrin,sd,,
Anaheim Bay - Huntington Harbor,Dieldrin,sd,,
Anaheim Bay - Huntington Harbor,Endosulfan I,sd,,
Anaheim Bay - Huntington Harbor,Endosulfan II,sd,,
Anaheim Bay - Huntington Harbor,Endosulfan Sulfate,sd,,
Anaheim Bay - Huntington Harbor,Endrin,sd,,
Anaheim Bay - Huntington Harbor,Endrin Aldehyde,sd,,
Anaheim Bay - Huntington Harbor,Endrin Ketone,sd,,
Anaheim Bay - Huntington Harbor,Fe,sd,,
Anaheim Bay - Huntington Harbor,Gamma-BHC,sd,,
Anaheim Bay - Huntington Harbor,Heptachlor Epoxide,sd,,
Anaheim Bay - Huntington Harbor,Hg,sd,0.15,mg/kg
Anaheim Bay - Huntington Harbor,HPAH,sd,,
Anaheim Bay - Huntington Harbor,L-Cyhalothrin,sd,,
Anaheim Bay - Huntington Harbor,LPAH,sd,,
Anaheim Bay - Huntington Harbor,Mirex,sd,,
Anaheim Bay - Huntington Harbor,Ni,sd,,
Anaheim Bay - Huntington Harbor,Nitrogen-S,sd,,
Anaheim Bay - Huntington Harbor,OxyChlordane,sd,,
Anaheim Bay - Huntington Harbor,Pb,sd,,
Anaheim Bay - Huntington Harbor,PCB,sd,,
Anaheim Bay - Huntington Harbor,Permethrin,sd,,
Anaheim Bay - Huntington Harbor,Perthane,sd,,
Anaheim Bay - Huntington Harbor,pH,sd,,
Anaheim Bay - Huntington Harbor,Phosphorus-S,sd,,
Anaheim Bay - Huntington Harbor,Prallethrin,sd,,
Anaheim Bay - Huntington Harbor,Prometon,sd,,
Anaheim Bay - Huntington Harbor,Prometryn,sd,,
Anaheim Bay - Huntington Harbor,Sb,sd,,
Anaheim Bay - Huntington Harbor,Se,sd,,
Anaheim Bay - Huntington Harbor,Simazine,sd,,
Anaheim Bay - Huntington Harbor,Tl,sd,,
Anaheim Bay - Huntington Harbor,TOC-S,sd,,
Anaheim Bay - Huntington Harbor,Total chlordane,sd,,
Anaheim Bay - Huntington Harbor,Toxaphene,sd,,
Anaheim Bay - Huntington Harbor,Trans-Permethrin,sd,,
Anaheim Bay - Huntington Harbor,Zn,sd,150,mg/kg
Anaheim Bay - Huntington Harbor,Ag,wc,,
Anaheim Bay - Huntington Harbor,Aldrin,wc,,
Anaheim Bay - Huntington Harbor,Allethrin,wc,,
Anaheim Bay - Huntington Harbor,Alpha-BHC,wc,,
