StationCode,Ag,Ammonia,As,Azinphos methyl (Guthion),Bolstar,Cd,Chlorpyrifos,Coumaphos,Cr,Cu,Demeton-o,Demeton-s,Diazinon,Dichlorvos,Dimethoate,Disulfoton,Ethoprop,Ethyl Parathion,Fe,Fensulfothion,Fenthion,GLYP,Hg,Malathion,Merphos,Mevinphos,Ni,"Nitrate, Nitrite",Orthophosphate,Parathion-methyl,Pb,Phorate,Ronnel,Se,Tetrachlorovinphos,Tokuthion,Total Kjeldahl Nitrogen,Total Phosphorus,Trichloronate,Zn
ACWF18,CTR,varies w/pH & temp,340 ug/L,N/A,N/A,CTR,14 ng/L,N/A,CTR,CTR,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,CTR,45 mg/L,N/A,N/A,CTR,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,CTR
BARSED,hardness adj,p 4-60 & 61,340 ug/L,N/A,N/A,hardness adj,14 ng/L,N/A,hardness adj,hardness adj,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,hardness adj,45 mg/L,N/A,N/A,hardness adj,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,hardness adj
BCC02,ug/L,Sta Ana Basin Plan,340 ug/L,N/A,N/A,ug/L,14 ng/L,N/A,ug/L,ug/L,N/A,N/A,100 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,ug/L,45 mg/L,N/A,N/A,ug/L,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,ug/L
BCF04,dissolved,,340 ug/L,N/A,N/A,dissolved,14 ng/L,N/A,dissolved,dissolved,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,dissolved,45 mg/L,N/A,N/A,dissolved,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,dissolved
CARB01,p 31717,,340 ug/L,N/A,N/A,p 31717,14 ng/L,N/A,p 31717,p 31717,N/A,N/A,100 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,p 31717,45 mg/L,N/A,N/A,p 31717,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,p 31717
CCBA01,WQO=0.85*EXP(1.72*LN(hardness)-6.52),,340 ug/L,N/A,N/A,WQO=(1.101672-LN(hardness)*0.041838)*EXP(0.7852*LN(hardness)-2.715),14 ng/L,N/A,WQO=0.86*EXP(0.819*LN(hardness)+1.561),WQO=0.96*EXP(0.8545*LN(hardness)-1.702),N/A,N/A,100 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,WQO=0.997*EXP(0.846*LN(hardness)+0.0584),45 mg/L,N/A,N/A,WQO=(1.46203-LN(hardness)*0.145712)*EXP(1.273*LN(hardness)-4.705),N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,WQO=0.986*EXP(0.8473*LN(hardness)+0.884)
CICF25,,,340 ug/L,N/A,N/A,,14 ng/L,N/A,,,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,,45 mg/L,N/A,N/A,,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,
CMCG02,,,340 ug/L,N/A,N/A,,14 ng/L,N/A,,,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,,45 mg/L,N/A,N/A,,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,
EGWC05,,,340 ug/L,N/A,N/A,,14 ng/L,N/A,,,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,,45 mg/L,N/A,N/A,,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,
FCVA03,,,340 ug/L,N/A,N/A,,14 ng/L,N/A,,,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,,45 mg/L,N/A,N/A,,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,
LANF08,,,340 ug/L,N/A,N/A,,14 ng/L,N/A,,,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,,45 mg/L,N/A,N/A,,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,
MIRF07,,,340 ug/L,N/A,N/A,,14 ng/L,N/A,,,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,,45 mg/L,N/A,N/A,,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,
SADF01,,,340 ug/L,N/A,N/A,,14 ng/L,N/A,,,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,,45 mg/L,N/A,N/A,,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,
SDMF05,,,340 ug/L,N/A,N/A,,14 ng/L,N/A,,,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,,45 mg/L,N/A,N/A,,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,
SICG03,,,340 ug/L,N/A,N/A,,14 ng/L,N/A,,,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,,45 mg/L,N/A,N/A,,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,
WYLSED,,,340 ug/L,N/A,N/A,,14 ng/L,N/A,,,N/A,N/A,50 ng/L,N/A,N/A,N/A,N/A,N/A,1000 ug/L,N/A,N/A,N/A,0.051 ug/L,N/A,N/A,N/A,,45 mg/L,N/A,N/A,,N/A,N/A,5 ug/L,N/A,N/A,N/A,N/A,N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WQOs,,,CTR,,,,TMDL,,,,,,TMDL,,,,,,USEPA Natl,,,,CTR,,,,,Basin Plan,,0.013 ug/L,,,,CTR,,,,,,
,,,not adjusted,,,,CTR,,Cr (III),,,,CTR,,,,,,Recommended,,,,human health,,,,,NO3,,parathion,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Water Quality,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Criteria,,,,,,,,,,,,,,,,,,,,,
