StationCode,Ag,Ammonia,As,Azinphos methyl (Guthion),Bolstar,Cd,Chlorpyrifos,Coumaphos,Cr,Cu,Demeton-o,Demeton-s,Diazinon,Dichlorvos,Dimethoate,Disulfoton,ENT,Ethoprop,Ethyl Parathion,FC,Fe,Fensulfothion,Fenthion,Hg,Malathion,Merphos,Mevinphos,Ni,"Nitrate, Nitrite",Orthophosphate,Parathion-methyl,Pb,Phorate,Ronnel,Se,TC,Tetrachlorovinphos,TOC,Tokuthion,Total Kjeldahl Nitrogen,Total Nitrogen,Total Phosphorus,Trichloronate,TSS,Zn
ANAB0151@WES,0.5,0.46,6.8,,,0.86,20,,1.4,14,,,20,,20,,27000,,,43000,,20,,0.1,20,,,12,6.1,3.03,,0.64,,,8.1,310000,,17,,,,,,33,52
ANACHANT@BRB,0.5,0.46,6.8,,,0.86,20,,1.4,14,,,20,,20,,27000,,,43000,,20,,0.1,20,,,12,6.1,3.03,,0.64,,,8.1,310000,,17,,,,,,33,52
ANACIT@B01,0.5,0.46,6.8,,,0.86,20,,1.4,14,,,20,,20,,27000,,,43000,,20,,0.1,20,,,12,6.1,3.03,,0.64,,,8.1,310000,,17,,,,,,33,52
ANAE02@LAPAL,0.5,0.46,6.8,,,0.86,20,,1.4,14,,,20,,20,,27000,,,43000,,20,,0.1,20,,,12,6.1,3.03,,0.64,,,8.1,310000,,17,,,,,,33,52
ANAE12@ E01,0.5,0.46,6.8,,,0.86,20,,1.4,14,,,20,,20,,27000,,,43000,,20,,0.1,20,,,12,6.1,3.03,,0.64,,,8.1,310000,,17,,,,,,33,52
ANAHGC03,0.5,0.46,6.8,,,0.86,20,,1.4,14,,,20,,20,,27000,,,43000,,20,,0.1,20,,,12,6.1,3.03,,0.64,,,8.1,310000,,17,,,,,,33,52
ANAWASD@CRB,0.5,0.46,6.8,,,0.86,20,,1.4,14,,,20,,20,,27000,,,43000,,20,,0.1,20,,,12,6.1,3.03,,0.64,,,8.1,310000,,17,,,,,,33,52
BPA0212X6USD,0.5,0.46,6.8,,,0.86,20,,1.4,14,,,20,,20,,27000,,,43000,,20,,0.1,20,,,12,6.1,3.03,,0.64,,,8.1,310000,,17,,,,,,33,52
BPA02RCPDSW,0.5,0.46,6.8,,,0.86,20,,1.4,14,,,20,,20,,27000,,,43000,,20,,0.1,20,,,12,6.1,3.03,,0.64,,,8.1,310000,,17,,,,,,33,52
BPA03RCBDSW,0.5,0.46,6.8,,,0.86,20,,1.4,14,,,20,,20,,27000,,,43000,,20,,0.1,20,,,12,6.1,3.03,,0.64,,,8.1,310000,,17,,,,,,33,52
