StationCode,receiving1,param1,receiving2,param2,receiving3,param3,receiving4,param4,receiving5,param5
ANAB0151@WES,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
ANACHANT@BRB,,,,,,,,,,
ANACIT@B01,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
ANAE02@LAPAL,,,,,,,,,,
ANAE12@ E01,,,,,,,,,,
ANAHGC03,,,,,,,,,,
ANAWASD@CRB,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
BPA0212X6USD,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
BPA02RCPDSW,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
BPA03RCBDSW,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
BPARA01,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
BRRC@I-90,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
CM15NB,,,,,,,,,,
CMF03@PINCRK,"Newport Bay, Upper",Metals,"Newport Bay, Upper",Nutrients,"Newport Bay, Upper",Pathogens,"Newport Bay, Upper",Pesticides/PCBs,,
CMFWD03INLET,,,,,,,,,,
CMFWPONDC,,,,,,,,,,
CMFWPONDE,,,,,,,,,,
COC01S01@MT,,,,,,,,,,
COC01S03,,,,,,,,,,
COF07S01,"San Diego Creek, Reach 1",Metals,"San Diego Creek, Reach 1",Selenium,"San Diego Creek, Reach 1",Nutrients,"San Diego Creek, Reach 1",Pesticides,"San Diego Creek, Reach 1",Sediment
COF13@FH,"San Diego Creek, Reach 1",Metals,"San Diego Creek, Reach 1",Selenium,"San Diego Creek, Reach 1",Nutrients,"San Diego Creek, Reach 1",Pesticides,"San Diego Creek, Reach 1",Sediment
CYPB00P01,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
CYPB0157@MDY,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
CYPB0160@WKR,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
CYPB0178@VL,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
CYPB01PS1,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
CYPB01PS2,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
CYPB01PS3,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
CYPC02S014X7,,,,,,,,,,
CYPP42@DLONG,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
CYPSTANT@VV,,,,,,,,,,
FULA0272@AH,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
FULA03S05,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
FULA0754DSIH,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
FULB01@SCO,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
FVES@D05,,,,,,,,,,
GGABCRCB@EUC,,,,,,,,,,
GGBEL@VV,,,,,,,,,,
GGC02S0172DS,,,,,,,,,,
GGC04@MAL,,,,,,,,,,
GGC05@TR,,,,,,,,,,
GGC05P19@TL,,,,,,,,,,
GGSHAN84@CHP,,,,,,,,,,
HBC04@BOLAVE,,,,,,,,,,
HBC04@BOLCHI,,,,,,,,,,
HBC0484@GRAH,,,,,,,,,,
HBC05S04@BRG,,,,,,,,,,
HBMC@C05,,,,,,,,,,
HBMC@HEIL,,,,,,,,,,
IRVF05P07,"Newport Bay, Upper",Metals,"Newport Bay, Upper",Nutrients,"Newport Bay, Upper",Pathogens,"Newport Bay, Upper",Pesticides/PCBs,,
IRVF05TBN1,"Newport Bay, Upper",Metals,"Newport Bay, Upper",Nutrients,"Newport Bay, Upper",Pathogens,"Newport Bay, Upper",Pesticides/PCBs,,
IRVF05TBN2,"Newport Bay, Upper",Metals,"Newport Bay, Upper",Nutrients,"Newport Bay, Upper",Pathogens,"Newport Bay, Upper",Pesticides/PCBs,,
IRVF06P06,"San Diego Creek, Reach 1",Metals,"San Diego Creek, Reach 1",Selenium,"San Diego Creek, Reach 1",Nutrients,"San Diego Creek, Reach 1",Pesticides,"San Diego Creek, Reach 1",Sediment
IRVF08P01,"San Diego Creek, Reach 1",Metals,"San Diego Creek, Reach 1",Selenium,"San Diego Creek, Reach 1",Nutrients,"San Diego Creek, Reach 1",Pesticides,"San Diego Creek, Reach 1",Sediment
IRVF08RCP36,"San Diego Creek, Reach 1",Metals,"San Diego Creek, Reach 1",Selenium,"San Diego Creek, Reach 1",Nutrients,"San Diego Creek, Reach 1",Pesticides,"San Diego Creek, Reach 1",Sediment
IRVF20@ETGCC,"San Diego Creek, Reach 2",Metals,"San Diego Creek, Reach 2",Nutrients,"San Diego Creek, Reach 2",Sediment,,,,
IRVMPF15P11,"San Diego Creek, Reach 1",Metals,"San Diego Creek, Reach 1",Selenium,"San Diego Creek, Reach 1",Nutrients,"San Diego Creek, Reach 1",Pesticides,"San Diego Creek, Reach 1",Sediment
IRVMPS@F15,"San Diego Creek, Reach 1",Metals,"San Diego Creek, Reach 1",Selenium,"San Diego Creek, Reach 1",Nutrients,"San Diego Creek, Reach 1",Pesticides,"San Diego Creek, Reach 1",Sediment
LAFPS@A01,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
LFDIM@LFD,"San Diego Creek, Reach 2",Metals,"San Diego Creek, Reach 2",Nutrients,"San Diego Creek, Reach 2",Sediment,,,,
LFF19P07@RP,"San Diego Creek, Reach 2",Metals,"San Diego Creek, Reach 2",Nutrients,"San Diego Creek, Reach 2",Sediment,,,,
LFF19S02@PB,"San Diego Creek, Reach 2",Metals,"San Diego Creek, Reach 2",Nutrients,"San Diego Creek, Reach 2",Sediment,,,,
LGHF23@SV,"San Diego Creek, Reach 2",Metals,"San Diego Creek, Reach 2",Nutrients,"San Diego Creek, Reach 2",Sediment,,,,
LGHF23S02,"San Diego Creek, Reach 2",Metals,"San Diego Creek, Reach 2",Nutrients,"San Diego Creek, Reach 2",Sediment,,,,
LHA01P08@WLN,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
LHA01P10,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
LHA0760DSEUC,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
LHA07XXX,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
LPB02P04,San Gabriel River,E. coli,San Gabriel River,Metals,,,,,,
LWF23P07@SM,"San Diego Creek, Reach 2",Metals,"San Diego Creek, Reach 2",Nutrients,"San Diego Creek, Reach 2",Sediment,,,,
LWF23P09XXX,"San Diego Creek, Reach 2",Metals,"San Diego Creek, Reach 2",Nutrients,"San Diego Creek, Reach 2",Sediment,,,,
NBBCW@JAM,"Newport Bay, Upper",Metals,"Newport Bay, Upper",Nutrients,"Newport Bay, Upper",Pathogens,"Newport Bay, Upper",Pesticides/PCBs,,
NBBKGUL48@PL,,,,,,,,,,
NBG02P01,"Newport Bay, Upper",Metals,"Newport Bay, Upper",Nutrients,"Newport Bay, Upper",Pathogens,"Newport Bay, Upper",Pesticides/PCBs,,
NBG02P02,"Newport Bay, Upper",Metals,"Newport Bay, Upper",Nutrients,"Newport Bay, Upper",Pathogens,"Newport Bay, Upper",Pesticides/PCBs,,
NBMORCYN51@R,,,,,,,,,,
ORG48RCP@GLS,,,,,,,,,,
